N225index,ContrYr,Date,Time,FutPrice,Days_to_mat
17479.57,1999,19990901,141737,17740,98
17630.32,1999,19990902,142445,17645,97
17559.4,1999,19990903,142444,17515,96
17664.06,1999,19990906,142457,17790,93
17651.94,1999,19990907,142456,17690,92
17509.73,1999,19990908,142456,17565,91
17677.28,1999,19990909,142454,17740,90
17589.05,1999,19990910,142455,17685,89
17735.6,1999,19990913,142504,17880,86
17610.31,1999,19990914,142500,17580,85
17058.13,1999,19990916,142522,17110,84
17118.31,1999,19990917,142454,17270,83
17418.23,1999,19990920,142500,17560,80
17558.74,1999,19990921,142505,17790,79
17248.92,1999,19990922,142457,17250,78
16652.04,1999,19990924,142502,16695,77
16820.93,1999,19990927,142446,16840,74
16892.46,1999,19990928,142447,17320,73
17071.02,1999,19990929,142502,17245,72
17307.22,1999,19990930,142525,17580,71
17510.29,1999,19991001,142454,17770,70
17675.28,1999,19991004,142503,17795,67
17775.95,1999,19991005,142509,17775,66
17734.3,1999,19991006,142504,17960,65
17985.96,1999,19991007,142505,18110,64
17915.15,1999,19991008,142457,18115,63
18084.49,1999,19991012,142505,18150,59
17754.49,1999,19991013,142503,17825,58
17702.24,1999,19991014,142504,17910,57
17511.11,1999,19991015,142500,17595,56
