Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1988,48.395,48.551,48.717,49.28,49.529,49.73,49.72,49.88,50.122,50.347,50.534,50.608
1989,50.765,50.959,51.158,51.871,52.168,52.339,52.288,52.373,52.722,53.108,53.326,53.393
1990,53.637,53.954,54.217,55.211,55.735,55.929,55.836,56.416,57.007,57.428,57.485,57.46
1991,57.421,57.74,57.933,59.873,60.294,60.621,60.455,60.87,61.058,61.306,61.547,61.599
1992,61.423,61.707,62.02,62.694,62.911,62.939,62.625,62.666,62.874,63.072,63.117,63.17
1993,62.8,63.187,63.561,64.256,64.495,64.454,64.249,64.495,64.797,64.703,64.561,64.692
1994,64.477,64.777,64.981,65.55,65.759,65.757,65.354,65.709,65.794,65.684,65.75,66.015
1995,66.03,66.323,66.67,67.049,67.386,67.45,67.098,67.419,67.749,67.564,67.567,67.964
1996,67.775,68.095,68.378,68.734,68.946,69.013,68.575,68.942,69.282,69.257,69.306,69.519
1997,69.231,69.399,69.549,69.805,70.021,70.168,69.943,70.305,70.553,70.571,70.637,70.708
1998,70.254,70.498,70.7,71.072,71.449,71.343,70.952,71.238,71.548,71.534,71.59,71.808
1999,71.367,71.489,71.88,72.168,72.382,72.306,71.877,72.097,72.387,72.33,72.435,72.615
2000,71.936,72.159,72.338,72.573,72.771,72.876,72.508,72.526,73.083,73.05,73.205,73.2
2001,72.553,72.749,72.995,73.42,73.98,74.126,73.559,73.852,74.054,73.933,73.788,73.975
2002,73.736,73.824,74.116,74.426,74.592,74.583,74.372,74.586,74.789,74.944,74.928,75.204
2003,74.721,74.989,75.255,75.502,75.528,75.408,75.346,75.623,75.858,75.959,75.926,76.159
2004,75.786,75.953,76.088,76.358,76.637,76.601,76.405,76.602,76.678,76.878,77.031,77.433
2005,77.015,77.208,77.542,77.843,78.104,78.143,78.193,78.449,78.565,78.683,78.679,78.918
2006,78.514,78.779,78.946,79.423,79.854,80.091,80.045,80.394,80.46,80.587,80.803,81.274
2007,80.645,80.983,81.366,81.622,81.849,82.028,81.529,81.818,81.875,82.274,82.494,82.967
2008,82.407,82.997,83.369,84.046,84.584,85.162,85.145,85.673,86.142,85.936,85.842,85.498
2009,84.878,85.613,85.759,85.963,86.441,86.689,86.658,87.047,87.083,87.235,87.48,87.972
2010,87.828,88.152,88.661,89.17,89.373,89.506,89.305,89.764,89.765,89.995,90.331,91.23
2011,91.312,91.987,92.241,93.163,93.353,93.266,93.262,93.81,94.413,94.479,94.634,95.059
2012,94.577,95.147,95.433,95.999,95.942,95.55,95.65,96.134,96.492,97.001,97.154,97.604
2013,97.144,97.795,98.135,98.323,98.532,98.339,98.295,98.72,99.07,99.126,99.179,99.589
2014,98.979,99.481,99.711,100.066,100.004,100.203,99.862,100.249,100.285,100.404,100.142,100.134
2015,99.258,99.512,99.701,99.945,100.115,100.163,100.008,100.257,100.16,100.293,100.253,100.336
2016,99.549,99.795,100.162,100.232,100.422,100.624,100.571,100.898,101.138,101.205,101.421,101.9
2017,101.356,102.088,102.482,102.949,103.309,103.284,103.215,103.785,104.131,104.242,104.557,104.929
2018,104.386,104.853,105.001,105.401,105.81,105.811,105.769,106.538,106.65,106.735,106.972,107.137
2019,106.315,106.813,107.004,107.633,107.948,107.933,107.949,108.375,108.479,108.298,108.549,108.532
2020,108.196,108.639,108.634,108.459,108.466,108.584,109.072,108.613,109.056,109.053,108.891,109.171
2021,108.954,109.089,109.41,110.114,110.76,111.314,111.297,112.085,112.415,113.64,114.477,115.051
2022,114.898,115.827,117.094,120.036,120.82,121.791,122.539,123.148,123.764,126.199,126.694,
